recipe_name,source,url,servings,calories,image_url,diet_labels,health_labels,cautions,cuisine_type,meal_type,dish_type
Oven-Fried Chicken,food.com,http://www.food.com/recipe/oven-fried-chicken-291839,6,2535.098416666667,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01c4629b02b82877913a98db7202f1ddaccee88adffd2784e8c4a94e19b37a61/21134526.jpg,"[""High-Protein"",""Low-Carb""]","[""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Gluten"",""Wheat"",""Sulfites""]","[""american""]","[""lunch/dinner""]","[""main course""]"
Special Summer Berry Medley Recipe,recipeofhealth.com,http://recipeofhealth.com/recipe/special-summer-berry-medley-739388rb,12,1047.145,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01c576c87106674ee610dc59c20df2ebaf73c9543eef39b3605a337f2446f484/21094838.jpg,"[""Low-Fat"",""Low-Sodium""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""salad""]"
Saffron Cucumber Pickles,Food & Wine,http://www.foodandwine.com/recipes/saffron-cucumber-pickles,4,755.7843797,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01c778e90cf887a9122ab46585f7f9e246cb30c6119b34e5c0c6d701c1a58f9e/21013492.jpg,"[""Low-Fat""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]",[],"[""indian""]","[""lunch/dinner""]","[""condiments and sauces""]"
Japanese Fruit Pie,Allrecipes,https://www.allrecipes.com/recipe/17020/japanese-fruit-pie,8,3347.153737997293,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01c8c111c07cda0253dd69598bcf581cbabcc7189207f5ca32fc174f3c7d1d34/21073022.jpg,"[""Low-Sodium""]","[""Vegetarian"",""Peanut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Tree-Nuts"",""Sulfites""]","[""american"",""japanese""]","[""lunch/dinner""]","[""desserts""]"
Tortilla Soup,tastykitchen.com,https://tastykitchen.com/recipes/soups/tortilla-soup-7/,6,2197.858115,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01cc10bebb35b92ab8780683f399025138d44725ccad95434a8624d66036023c/21115211.jpg,"[""High-Fiber""]","[""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""mexican""]","[""lunch/dinner""]","[""soup""]"
Roasted Rosemary Fingerling Potatoes,McCormick,http://www.mccormick.com/Gourmet/Recipes/Salads-Sides/Roasted-Rosemary-Fingerling-Potatoes,6,950.2099998000001,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01cc5aadc4a0f2a8610d85c4d084b5ed30498411452c7fd933b15cb8924b8b3c/21122956.jpg,[],"[""Vegan"",""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]",[],"[""mediterranean""]","[""lunch/dinner""]","[""starter""]"
Snickers Blondies,Good Housekeeping,https://www.goodhousekeeping.com/food-recipes/a14117/snickers-blondies-recipe-123648,16,2575.064,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01ccda7d51aa541fe654497a6b4dd00736b3a15ddeccb79d89474e5255fec959/21117915.jpg,"[""Low-Sodium""]","[""Vegetarian"",""Tree-Nut-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""snack""]","[""desserts""]"
Dutch Oven Cobbler,Food Network,https://www.foodnetwork.com/recipes/dutch-oven-cobbler-recipe-1943019,8,4402.872,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01cec104a29f7de688689f4eaef9892db8253b0fb5995d7319710ed52fddeee8/21119196.jpg,[],"[""Vegetarian"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american"",""central europe""]","[""lunch/dinner""]","[""desserts""]"
Avocado-Alfalfa Turkey Burger,Epicurious,https://www.epicurious.com/recipes/food/views/avocado-alfalfa-turkey-burger-51196220,4,2258.382965838503,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01cfa3263203223e34076bb7fbba4587323d2537cabc85f6f5ef776e3a0f96e6/21022507.jpg,"[""High-Fiber""]","[""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""sandwiches""]"
Chocolate-Sunflower Butter Protein Smoothie,Allrecipes,https://www.allrecipes.com/recipe/270037/chocolate-sunflower-butter-protein-smoothie,1,416.2100000004144,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01d11769bb693ede148d1375d8aff005e9a08e8b81c508a6924f161d5e6470fe/21102340.jpg,"[""High-Fiber"",""Low-Carb""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""breakfast""]","[""drinks""]"
Mustard Chicken Marinade,heatherdisarro.com,https://www.heatherdisarro.com/mustard-chicken-marinade,6,1542.221134166667,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01d42011787b6f61b8e8012a48d703cf0cd35991736739d0b6d947e917d451ce/21117891.jpg,"[""Low-Carb""]","[""Vegan"",""Vegetarian"",""Paleo"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]",[],"[""american""]","[""lunch/dinner""]","[""condiments and sauces""]"
Sous Vide Salmon with Cucumbers,Food & Wine,https://www.foodandwine.com/recipes/sous-vide-salmon-cucumbers,4,1964.594131,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01d434e4c7ddd3b827f1b4857624aa07e9d9395f4b807296d2b63eea8e17a928/21047871.jpg,"[""Low-Carb""]","[""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Shellfish-Free""]","[""Sulfites""]","[""nordic""]","[""lunch/dinner""]","[""main course""]"
FESTIVE STUFFED PEPPERS,justapinch.com,https://www.justapinch.com/recipes/side/vegetable/festive-stuffed-peppers.html,6,1744.078951,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01d4d46a0e823e99304615abe268bbc72750e1b315e0e7b44b3c48322ee841da/21004552.jpeg,"[""Balanced""]","[""Vegetarian"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""main course""]"
Peppermint Chiller,justapinch.com,https://www.justapinch.com/recipes/drink/drink-cocktail/peppermint-chiller.html,6,2116.16,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01db10fc5e3e08e2ccc8c85f751b6884f5d142be47a80307396c233ebe54ce02/21097295.jpeg,"[""Low-Fat"",""Low-Sodium""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites"",""FODMAP""]","[""indian""]","[""lunch/dinner""]","[""drinks""]"
Leap Year Cocktail Recipe,Serious Eats,https://www.seriouseats.com/leap-year-cocktail-recipe,1,193.7670346103671,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01dcb0d7cfffc4acb221d84fe3ddbcf4ed2c2d70a621667d4a3671cb487bacbc/20948383.jpg,"[""Low-Fat"",""Low-Sodium""]",[],"[""Sulfites""]","[""world""]","[""lunch/dinner""]","[""alcohol cocktail""]"
Coconut Cookies,Epicurious,https://www.epicurious.com/recipes/food/views/coconut-cookies-108918,48,786.167562,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01dd9f61584f91756b374f425ba5019e5c28cb4d836839739dc35adbfc6a0409/20983892.jpg,"[""Low-Sodium""]","[""Vegetarian"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Tree-Nuts"",""Sulfites""]","[""american""]","[""snack""]","[""biscuits and cookies""]"
Smokin' Jalapeno Poppers,recipezazz.com,https://www.recipezazz.com/recipe/smokin-jalapeno-poppers-21684,18,5098.883854,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01df8f50f8905dbece222cc81b0ae5a39b376b34f9f68093a46b0aedaa6bc0a7/21130065.jpg,"[""Low-Carb""]","[""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""mexican""]","[""snack""]","[""main course""]"
Sour Cream Cookies,BigOven,https://www.bigoven.com/recipe/sour-cream-cookies/666646,48,3827.556,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01e2b97527eb806a328592fa5f942e8de5bba8c82a59a859127c1e4fea129136/21125734.jpg,"[""Low-Sodium""]","[""Vegetarian"",""Gluten-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]",[],"[""american""]","[""snack""]","[""biscuits and cookies""]"
Artichoke Dip,BigOven,http://www.bigoven.com/recipe/Artichoke-Dip/209551,4,2341.33981,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01e80295f027d36b9eae0f7aec876c46628fab60ff6bec121559c480ca4b8e31/21102109.jpg,"[""Low-Carb""]","[""Vegetarian"",""Gluten-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""mediterranean""]","[""snack""]","[""condiments and sauces""]"
Carrot and Apple Tzimmes,The Daily Meal,http://www.thedailymeal.com/carrot-and-apple-tzimmes-recipe,6,705.7314779564026,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01e9e4f433efa193c59274d02e60067073e1d499cafc6086186e5bb72a509bd2/21127349.jpg,[],"[""Vegetarian"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites"",""FODMAP""]","[""kosher""]","[""lunch/dinner""]","[""desserts""]"
Aebleskiver,Spectacularly Delicious,http://spectacularlydelicious.com/2009/10/11/aebleskiver/,35,1695.063633340328,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01ebdd1c17496565b2a6e57c5e1600c19e0b0bb5092eab4031eef6f55d90575d/21133616.jpg,"[""Balanced"",""Low-Sodium""]","[""Vegetarian"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""nordic""]","[""breakfast""]","[""bread""]"
